Product_ID(NK),DESCRIPTION,PRICE1,PRICE2,UNITCOST,SUPPILERNAME,PRODTYPEID,BUID,TYPEDESCRIPTION,NAME,ABBREV,Department
20.00,Flake Photo Equipment,232.26,204.39,194.17,Sinclair Broadcast Group Inc.,1.00,A,Photo Equipment,Processing Equipment,Equipment,TPCW
32.00,Chartable Photo Equipment,410.17,347.41,312.67,Black Hills Corporation,1.00,A,Photo Equipment,Processing Equipment,Equipment,TPCW
35.00,Chromium Photo Equipment,565.50,457.49,425.47,Fedders Corporation,1.00,A,Photo Equipment,Processing Equipment,Equipment,TPCW
36.00,Bomber Photo Equipment,461.34,400.44,380.42,American General Ventures Inc,1.00,A,Photo Equipment,Processing Equipment,Equipment,TPCW
71.00,Simulations Photo Equipment,318.38,255.66,245.43,Black Hills Corporation,1.00,A,Photo Equipment,Processing Equipment,Equipment,TPCW
77.00,Vastest Photo Equipment,498.08,442.30,420.19,Sinclair Broadcast Group Inc.,1.00,A,Photo Equipment,Processing Equipment,Equipment,TPCW
6.00,Planetesimal Manufacturing Equip,347.28,307.00,285.51,First Bancshares Inc Mo,2.00,A,Manufacturing Equip,Processing Equipment,Equipment,TPCW
8.00,Septembers Manufacturing Equip,584.33,522.98,517.75,Fedders Corporation,2.00,A,Manufacturing Equip,Processing Equipment,Equipment,TPCW
18.00,Miniaturizing Manufacturing Equip,456.24,379.59,353.02,American General Ventures Inc,2.00,A,Manufacturing Equip,Processing Equipment,Equipment,TPCW
24.00,Bandage Manufacturing Equip,298.00,267.01,253.66,Sinclair Broadcast Group Inc.,2.00,A,Manufacturing Equip,Processing Equipment,Equipment,TPCW
34.00,Sailors Manufacturing Equip,340.48,290.43,278.81,Dollar General Corporation,2.00,A,Manufacturing Equip,Processing Equipment,Equipment,TPCW
40.00,Insensitivity Manufacturing Equip,200.71,180.44,169.61,First Bancshares Inc Mo,2.00,A,Manufacturing Equip,Processing Equipment,Equipment,TPCW
44.00,Birthdays Manufacturing Equip,196.56,173.17,161.05,First Bancshares Inc Mo,2.00,A,Manufacturing Equip,Processing Equipment,Equipment,TPCW
60.00,Habitually Manufacturing Equip,509.30,419.15,394.00,Black Hills Corporation,2.00,A,Manufacturing Equip,Processing Equipment,Equipment,TPCW
61.00,Courthouses Manufacturing Equip,285.62,243.63,231.45,First Bancshares Inc Mo,2.00,A,Manufacturing Equip,Processing Equipment,Equipment,TPCW
65.00,Extinguisher Manufacturing Equip,120.39,98.36,90.49,Sinclair Broadcast Group Inc.,2.00,A,Manufacturing Equip,Processing Equipment,Equipment,TPCW
67.00,Occlusion Manufacturing Equip,199.88,177.29,164.88,Afg Industries Inc.,2.00,A,Manufacturing Equip,Processing Equipment,Equipment,TPCW
70.00,Escape Manufacturing Equip,584.38,523.60,507.89,Black Hills Corporation,2.00,A,Manufacturing Equip,Processing Equipment,Equipment,TPCW
85.00,Disallow Manufacturing Equip,165.24,145.91,144.45,Dollar General Corporation,2.00,A,Manufacturing Equip,Processing Equipment,Equipment,TPCW
87.00,Suing Manufacturing Equip,482.16,426.71,401.11,First Bancshares Inc Mo,2.00,A,Manufacturing Equip,Processing Equipment,Equipment,TPCW
100.00,Pervasively Manufacturing Equip,374.14,334.86,308.07,American General Ventures Inc,2.00,A,Manufacturing Equip,Processing Equipment,Equipment,TPCW
106.00,Escape Manufacturing Equip,584.38,523.60,507.89,Black Hills Corporation,2.00,A,Manufacturing Equip,Processing Equipment,Equipment,TPCW
1.00,Enumerator Polishing Equipment,164.97,142.53,135.40,American General Ventures Inc,3.00,A,Polishing Equipment,Processing Equipment,Equipment,TPCW
21.00,Denigrating Polishing Equipment,565.95,454.46,427.19,First Bancshares Inc Mo,3.00,A,Polishing Equipment,Processing Equipment,Equipment,TPCW
25.00,Chalmers Polishing Equipment,289.17,242.61,223.20,American General Ventures Inc,3.00,A,Polishing Equipment,Processing Equipment,Equipment,TPCW
26.00,Subclasses Polishing Equipment,282.51,239.00,236.61,Saurer Gruppe Holding Ag,3.00,A,Polishing Equipment,Processing Equipment,Equipment,TPCW
37.00,Concentrators Polishing Equipment,584.57,524.94,482.94,Immunex Corporation,3.00,A,Polishing Equipment,Processing Equipment,Equipment,TPCW
38.00,Syntax Polishing Equipment,226.72,190.90,177.54,Dollar General Corporation,3.00,A,Polishing Equipment,Processing Equipment,Equipment,TPCW
56.00,Allis Polishing Equipment,201.77,176.35,160.48,American General Ventures Inc,3.00,A,Polishing Equipment,Processing Equipment,Equipment,TPCW
63.00,Weeks Polishing Equipment,198.83,174.18,168.95,Afg Industries Inc.,3.00,A,Polishing Equipment,Processing Equipment,Equipment,TPCW
68.00,Loaves Polishing Equipment,425.59,361.33,354.10,Afg Industries Inc.,3.00,A,Polishing Equipment,Processing Equipment,Equipment,TPCW
81.00,Palm Polishing Equipment,122.39,105.38,103.27,Black Hills Corporation,3.00,A,Polishing Equipment,Processing Equipment,Equipment,TPCW
93.00,Bellowing Polishing Equipment,502.57,451.31,446.80,First Bancshares Inc Mo,3.00,A,Polishing Equipment,Processing Equipment,Equipment,TPCW
95.00,Duplicator Polishing Equipment,544.28,465.36,432.78,Afg Industries Inc.,3.00,A,Polishing Equipment,Processing Equipment,Equipment,TPCW
4.00,Embodying Cleaning Supplies,250.91,213.52,207.11,Immunex Corporation,5.00,B,Cleaning Supplies,Disposable Supplies,Supplies,TPCW
17.00,Optima Cleaning Supplies,288.41,255.53,242.75,American General Ventures Inc,5.00,B,Cleaning Supplies,Disposable Supplies,Supplies,TPCW
48.00,Patriarchal Cleaning Supplies,351.54,284.75,264.82,Sinclair Broadcast Group Inc.,5.00,B,Cleaning Supplies,Disposable Supplies,Supplies,TPCW
86.00,Soya Cleaning Supplies,406.93,345.89,345.89,Specialty Teleconstructors Inc,5.00,B,Cleaning Supplies,Disposable Supplies,Supplies,TPCW
90.00,Curiouser Cleaning Supplies,419.36,364.42,338.91,Dollar General Corporation,5.00,B,Cleaning Supplies,Disposable Supplies,Supplies,TPCW
200.00,Curiouser Cleaning Supplies,419.36,364.42,338.91,Dollar General Corporation,5.00,B,Cleaning Supplies,Disposable Supplies,Supplies,TPCW
96.00,Drafty Cleaning Supplies,107.13,92.67,88.96,Black Hills Corporation,5.00,B,Cleaning Supplies,Disposable Supplies,Supplies,TPCW
101.00,Optima Cleaning Supplies,288.41,255.53,242.75,American General Ventures Inc,5.00,B,Cleaning Supplies,Disposable Supplies,Supplies,TPCW
46.00,Distantly Paper Supplies,518.49,436.05,418.61,First Bancshares Inc Mo,6.00,B,Paper Supplies,Disposable Supplies,Supplies,TPCW
50.00,Restarts Paper Supplies,524.38,448.34,425.92,Specialty Teleconstructors Inc,6.00,B,Paper Supplies,Disposable Supplies,Supplies,TPCW
84.00,Unjust Paper Supplies,222.48,182.21,176.74,Afg Industries Inc.,6.00,B,Paper Supplies,Disposable Supplies,Supplies,TPCW
89.00,Travel Paper Supplies,129.85,108.81,103.37,Saurer Gruppe Holding Ag,6.00,B,Paper Supplies,Disposable Supplies,Supplies,TPCW
97.00,Stickiest Paper Supplies,575.92,502.78,467.59,Black Hills Corporation,6.00,B,Paper Supplies,Disposable Supplies,Supplies,TPCW
105.00,Just Paper Supplies,278.59,201.34,192.67,Afg Industries Inc.,6.00,B,Paper Supplies,Disposable Supplies,Supplies,TPCW
27.00,Pinnings Plastic Supplies,337.17,302.44,287.32,Saurer Gruppe Holding Ag,7.00,B,Plastic Supplies,Disposable Supplies,Supplies,TPCW
39.00,Overlays Plastic Supplies,301.08,254.41,241.69,Afg Industries Inc.,7.00,B,Plastic Supplies,Disposable Supplies,Supplies,TPCW
55.00,Bumblers Plastic Supplies,545.31,466.24,447.59,First Bancshares Inc Mo,7.00,B,Plastic Supplies,Disposable Supplies,Supplies,TPCW
58.00,Characterization Plastic Supplies,231.68,185.58,168.88,Fedders Corporation,7.00,B,Plastic Supplies,Disposable Supplies,Supplies,TPCW
59.00,Tonnage Plastic Supplies,368.75,315.65,309.34,Afg Industries Inc.,7.00,B,Plastic Supplies,Disposable Supplies,Supplies,TPCW
79.00,Siena Plastic Supplies,155.03,136.43,132.34,Black Hills Corporation,7.00,B,Plastic Supplies,Disposable Supplies,Supplies,TPCW
80.00,Temporally Plastic Supplies,477.53,408.29,371.54,Fedders Corporation,7.00,B,Plastic Supplies,Disposable Supplies,Supplies,TPCW
91.00,Scribble Plastic Supplies,492.40,405.74,397.63,Specialty Teleconstructors Inc,7.00,B,Plastic Supplies,Disposable Supplies,Supplies,TPCW
10.00,Defeated Tray Supplies,559.74,476.90,448.29,American General Ventures Inc,8.00,B,Tray Supplies,Disposable Supplies,Supplies,TPCW
23.00,Decided Tray Supplies,233.30,202.27,198.22,Dollar General Corporation,8.00,B,Tray Supplies,Disposable Supplies,Supplies,TPCW
31.00,Simplifier Tray Supplies,408.81,349.12,328.17,Saurer Gruppe Holding Ag,8.00,B,Tray Supplies,Disposable Supplies,Supplies,TPCW
33.00,Consumable Tray Supplies,395.70,347.42,337.00,First Bancshares Inc Mo,8.00,B,Tray Supplies,Disposable Supplies,Supplies,TPCW
