invoice,custID,prodID,amt,qty,discounted,SalesDate,Department
3032,29,104,52,,0,3/28/2009,TPCW
2606,14,5,128,30,0,10/30/2010 0:00,TPCW
9957,39,47,285,101,0,10/30/2010 0:00,TPCW
10295,8,101,394,118,0,10/30/2010 0:00,TPCW
10568,4,93,165,114,0,10/30/2010 0:00,TPCW
13845,1,5,350,143,0,10/30/2010 0:00,TPCW
24354,26,101,190,194,0,10/30/2010 0:00,TPCW
28289,13,18,246,159,0,10/30/2010 0:00,TPCW
29489,16,69,141,108,0,10/30/2010 0:00,TPCW
29489,16,8,174,72,0,10/30/2010 0:00,TPCW
29553,25,89,313,194,0,10/30/2010 0:00,TPCW
31402,15,32,203,21,0,10/30/2010 0:00,TPCW
32695,2,86,127,80,0,10/30/2010 0:00,TPCW
36622,7,68,200,22,0,10/30/2010 0:00,TPCW
37528,6,42,390,185,0,10/30/2010 0:00,TPCW
44847,19,22,387,14,0,10/30/2010 0:00,TPCW
46851,12,10,234,187,0,10/30/2010 0:00,TPCW
48010,29,56,136,163,0,10/30/2010 0:00,TPCW
49390,33,71,293,89,0,10/30/2010 0:00,TPCW
54350,20,56,164,86,0,10/30/2010 0:00,TPCW
26,19,29,194,173,0,10/29/2010 0:00,TPCW
2060,32,12,239,149,0,10/29/2010 0:00,TPCW
4725,28,35,107,165,0,10/29/2010 0:00,TPCW
4758,16,47,133,165,0,10/29/2010 0:00,TPCW
5072,20,71,295,90,0,10/29/2010 0:00,TPCW
23639,4,73,350,41,0,10/29/2010 0:00,TPCW
23773,34,70,352,164,0,10/29/2010 0:00,TPCW
26937,6,38,378,73,0,10/29/2010 0:00,TPCW
31472,17,105,145,164,0,10/29/2010 0:00,TPCW
41462,12,18,380,105,0,10/29/2010 0:00,TPCW
41462,12,63,185,91,0,10/29/2010 0:00,TPCW
41530,10,29,113,11,0,10/29/2010 0:00,TPCW
42623,36,97,314,29,0,10/29/2010 0:00,TPCW
46139,23,84,131,59,0,10/29/2010 0:00,TPCW
48562,33,99,369,132,0,10/29/2010 0:00,TPCW
54689,3,62,291,94,0,10/29/2010 0:00,TPCW
363,1,22,365,184,0,10/28/2010 0:00,TPCW
363,1,29,251,125,0,10/28/2010 0:00,TPCW
363,1,19,186,169,0,10/28/2010 0:00,TPCW
678,33,87,191,102,0,10/28/2010 0:00,TPCW
14630,24,73,351,196,0,10/28/2010 0:00,TPCW
20168,38,49,197,119,0,10/28/2010 0:00,TPCW
20168,38,2,335,196,0,10/28/2010 0:00,TPCW
23486,30,26,245,163,0,10/28/2010 0:00,TPCW
23732,39,55,258,131,0,10/28/2010 0:00,TPCW
32274,23,73,199,80,1,10/28/2010 0:00,TPCW
